episode,timestep,reward
3,200,169.5901
5,400,-90.0
7,600,0.0
9,800,455.9227
11,1000,-85.0
13,1200,-50.0
15,1400,-179.1889
17,1600,-18.9122
19,1800,169.2258
21,2000,-70.0
23,2200,-65.0
25,2400,-204.2582
27,2600,-70.0
29,2800,0.0
32,3000,865.3242
34,3200,233.1427
37,3400,173.6733
39,3600,-210.0
41,3800,-130.0
43,4000,-180.0
45,4200,244.8413
47,4400,167.8618
51,4600,344.7159
53,4800,-35.0
55,5000,-84.6858
57,5200,143.9636
60,5400,169.8869
62,5600,561.8402
64,5800,171.7307
67,6000,116.0868
70,6200,42.2383
72,6400,-140.0
74,6600,-200.9405
76,6800,-140.0
78,7000,-208.7499
80,7200,-95.0
82,7400,-335.0
84,7600,-60.0
86,7800,0.0
88,8000,-25.0
90,8200,-352.7372
92,8400,-70.0
94,8600,18.8777
96,8800,-130.0
98,9000,-481.5859
101,9200,-251.795
103,9400,-201.8547
105,9600,-21.2401
107,9800,-355.9588
109,10000,-220.4487
111,10200,-155.0
114,10400,-94.5335
117,10600,205.4017
119,10800,-300.0
121,11000,-146.9924
123,11200,671.7692
126,11400,51.0394
129,11600,-95.4746
132,11800,-267.4515
134,12000,-120.0
136,12200,-150.0
138,12400,-185.0
140,12600,-288.7916
142,12800,52.8591
144,13000,81.1387
146,13200,-80.7573
149,13400,804.0092
151,13600,-10.0
153,13800,-50.0
155,14000,-120.0
157,14200,32.6236
159,14400,-250.0
161,14600,-153.7242
163,14800,44.0171
166,15000,-10.7807
168,15200,847.674
170,15400,-210.0
173,15600,-117.1751
175,15800,-275.0
177,16000,-210.0
179,16200,284.0591
181,16400,291.3567
183,16600,-55.0
186,16800,341.7805
188,17000,-80.0
190,17200,-75.0
192,17400,0.0
194,17600,-255.0
196,17800,-60.0
198,18000,-45.0
201,18200,193.5984
203,18400,-280.0
205,18600,-275.9103
207,18800,-240.0
210,19000,-105.7561
212,19200,85.7426
214,19400,418.0911
217,19600,48.3209
219,19800,-185.0
221,20000,-205.0
223,20200,27.6159
226,20400,-107.67
228,20600,-190.0
230,20800,-80.0
232,21000,31.2245
234,21200,-9.0867
236,21400,-320.0
238,21600,215.7835
240,21800,-260.0
242,22000,-110.0
244,22200,-38.5265
247,22400,599.3638
249,22600,399.5693
251,22800,-70.0
253,23000,-50.0
256,23200,233.4109
258,23400,-12.1392
261,23600,186.4477
263,23800,214.6796
265,24000,0.0
267,24200,-60.0
270,24400,319.5641
272,24600,0.0
275,24800,469.2363
277,25000,14.3597
279,25200,74.3643
281,25400,-148.8753
283,25600,-5.0
285,25800,-55.0
288,26000,-115.9357
290,26200,-193.1336
292,26400,55.4814
294,26600,-157.7997
296,26800,162.7851
298,27000,-100.0
300,27200,-245.0
302,27400,-260.0
304,27600,-305.0
307,27800,13.227
309,28000,0.0
311,28200,-76.7435
313,28400,-160.0
315,28600,0.0
317,28800,-278.8236
319,29000,-407.4526
321,29200,-116.1007
324,29400,-38.667
326,29600,-53.0392
328,29800,-310.0
330,30000,-165.596
333,30200,808.1788
336,30400,52.6956
338,30600,-245.0
340,30800,801.4304
343,31000,50.1813
345,31200,-250.0
347,31400,-155.0
349,31600,131.9502
351,31800,0.0
353,32000,0.0
355,32200,-45.0
357,32400,-90.0
360,32600,-36.7894
362,32800,-95.0
364,33000,-216.4216
366,33200,553.1767
368,33400,-165.0
371,33600,210.3956
373,33800,-100.0
375,34000,28.632
377,34200,0.0
379,34400,0.0
381,34600,-344.4811
383,34800,-158.2872
385,35000,-245.0
387,35200,-176.6855
389,35400,-130.0
391,35600,-192.841
393,35800,0.0
395,36000,-368.7858
397,36200,-50.0
399,36400,175.7426
403,36600,52.8092
405,36800,-100.0
407,37000,-223.5109
409,37200,0.0
411,37400,-117.3968
413,37600,-91.6385
415,37800,429.7994
417,38000,-170.0
419,38200,-5.834
421,38400,-95.8566
424,38600,-123.6615
426,38800,-35.0
428,39000,119.3723
430,39200,0.0
432,39400,-300.0
434,39600,-30.0
436,39800,-92.1712
438,40000,-154.0965
440,40200,-105.0
442,40400,-180.0
444,40600,-35.1369
447,40800,179.67
449,41000,-82.8918
451,41200,-22.2335
454,41400,192.2028
456,41600,-131.0737
458,41800,25.684
461,42000,-176.536
463,42200,713.9065
465,42400,0.0
468,42600,374.3714
471,42800,-336.7981
473,43000,0.0
475,43200,0.0
478,43400,1430.5588
480,43600,96.5832
482,43800,-65.0
484,44000,-321.6955
487,44200,531.6055
489,44400,606.903
491,44600,0.0
493,44800,132.655
496,45000,155.9444
498,45200,-46.7162
500,45400,-160.0
502,45600,430.461
504,45800,-35.0
506,46000,-10.0
508,46200,51.7455
510,46400,-285.0
512,46600,-186.086
515,46800,-61.4363
517,47000,-95.0
519,47200,-106.4582
521,47400,-160.0
523,47600,0.0
525,47800,205.8883
527,48000,246.6859
529,48200,-186.7892
531,48400,-66.7328
534,48600,-37.2599
536,48800,-67.2423
539,49000,216.0282
541,49200,-174.4439
543,49400,-136.8058
545,49600,-165.3051
547,49800,-315.0
550,50000,328.2539
552,50200,-101.8079
554,50400,0.0
556,50600,-67.8274
559,50800,188.0333
561,51000,207.9771
564,51200,-41.1221
566,51400,0.0
568,51600,0.0
570,51800,-180.0
572,52000,-10.0
574,52200,-65.0
576,52400,822.7621
578,52600,-55.0
580,52800,-26.5725
582,53000,-215.0
584,53200,-45.0
586,53400,-260.0
589,53600,-175.3951
591,53800,92.225
593,54000,-106.0569
595,54200,-20.0
597,54400,0.0
599,54600,751.38
602,54800,201.8887
604,55000,-60.0
606,55200,-185.0
608,55400,-135.0
610,55600,19.022
612,55800,-80.0
614,56000,-47.648
616,56200,-40.0
618,56400,108.0206
620,56600,-28.4298
622,56800,-81.2963
624,57000,-102.2814
627,57200,53.4456
630,57400,412.1883
632,57600,-50.7338
634,57800,0.0
637,58000,580.0692
639,58200,-36.2659
641,58400,163.4309
643,58600,-31.7155
646,58800,498.3905
648,59000,0.0
650,59200,-87.6076
652,59400,308.4871
655,59600,-104.4512
658,59800,-88.7526
660,60000,-95.8849
662,60200,174.6605
665,60400,-109.2952
667,60600,-10.0
670,60800,63.3335
672,61000,223.7429
674,61200,0.0
677,61400,151.2278
679,61600,354.3075
681,61800,-25.0
683,62000,-120.0
685,62200,-105.0
687,62400,46.5636
690,62600,359.0557
692,62800,-149.9372
695,63000,38.076
697,63200,-85.0
699,63400,-183.1641
701,63600,203.8793
703,63800,-90.0
705,64000,-185.611
708,64200,190.4518
710,64400,-52.3055
713,64600,378.0528
715,64800,-20.0
717,65000,-39.4731
720,65200,344.9575
722,65400,215.5488
724,65600,-44.8536
726,65800,2.0799
728,66000,51.4568
730,66200,-55.0
732,66400,-66.6988
735,66600,157.8541
737,66800,-240.0
739,67000,-92.3582
741,67200,568.681
744,67400,209.4867
746,67600,-75.0
748,67800,-119.1658
751,68000,376.3907
753,68200,-260.0
755,68400,294.9406
758,68600,2.598
761,68800,112.3814
763,69000,3.5469
765,69200,97.9939
768,69400,68.0016
770,69600,-185.0
772,69800,50.3641
774,70000,17.262
776,70200,-52.978
778,70400,-58.3149
780,70600,6.6434
782,70800,0.0
784,71000,-40.0
787,71200,49.5259
789,71400,149.195
791,71600,-101.8896
793,71800,-77.8557
795,72000,40.4411
797,72200,559.5139
800,72400,-21.4426
802,72600,0.0
804,72800,-109.3227
806,73000,0.0
808,73200,-58.7647
811,73400,133.9617
813,73600,-205.0
815,73800,-85.2542
817,74000,0.0
819,74200,79.6002
821,74400,-100.0
823,74600,-65.0
825,74800,-79.4246
828,75000,60.2093
830,75200,874.0977
833,75400,45.8163
835,75600,-23.5803
837,75800,-25.0
839,76000,0.0
841,76200,0.0
843,76400,672.7981
845,76600,17.5822
847,76800,-225.0
850,77000,-82.8048
852,77200,-145.0655
854,77400,-50.0
856,77600,659.0685
859,77800,21.771
862,78000,141.2908
864,78200,-120.0
866,78400,1046.1706
869,78600,960.9509
871,78800,0.0
873,79000,-65.0
875,79200,-55.0
877,79400,-320.0
879,79600,-20.0
881,79800,-175.0
883,80000,208.4145
885,80200,5.682
887,80400,-85.0
889,80600,-122.8756
891,80800,-110.0
893,81000,650.0555
895,81200,0.0
898,81400,-0.0794
900,81600,-115.0
902,81800,-68.5084
904,82000,0.0
906,82200,-130.0
908,82400,715.7445
910,82600,54.3799
912,82800,-185.5471
914,83000,-15.804
916,83200,-30.0
919,83400,224.0199
922,83600,311.275
924,83800,0.0
926,84000,0.0
928,84200,320.6174
930,84400,-297.5706
932,84600,-0.9573
935,84800,248.0332
937,85000,213.3602
940,85200,305.9342
942,85400,-43.8092
944,85600,-8.6848
946,85800,-20.0
948,86000,-170.0
950,86200,-325.0
952,86400,-71.9589
955,86600,-7.2025
957,86800,-60.0
959,87000,-10.8019
961,87200,0.0
963,87400,-35.0
965,87600,3.5681
967,87800,-60.0
969,88000,-150.5686
971,88200,-148.3826
973,88400,129.4963
975,88600,-45.0
978,88800,-21.6637
980,89000,-20.0
982,89200,-115.0
984,89400,0.0
987,89600,416.5047
989,89800,-234.6473
991,90000,-4.849
994,90200,70.9095
996,90400,89.2689
998,90600,-30.0
1000,90800,123.803
1002,91000,321.8561
1004,91200,-150.0
1007,91400,-11.4392
1009,91600,-79.2277
1011,91800,32.0061
1014,92000,349.5363
1016,92200,-9.9276
1018,92400,-202.9372
1020,92600,-185.0
1022,92800,-360.0
1024,93000,-220.0
1027,93200,-217.0051
1030,93400,644.406
1032,93600,-125.0
1034,93800,0.0
1036,94000,51.573
1038,94200,-122.1344
1041,94400,704.4843
1043,94600,390.8893
1045,94800,-265.0
1047,95000,461.0234
1049,95200,-336.3293
1051,95400,0.0
1053,95600,-145.0
1055,95800,141.0241
1057,96000,0.0
1060,96200,752.9848
1062,96400,0.0
1065,96600,-130.1972
1068,96800,-156.4231
1070,97000,-165.0
1072,97200,-35.0
1074,97400,-10.0
1078,97600,513.7584
1080,97800,-15.0
1083,98000,1315.2508
1086,98200,430.392
1088,98400,-174.4628
1090,98600,-209.79
1092,98800,237.433
1095,99000,28.2928
1097,99200,-80.0
1099,99400,215.7086
1101,99600,-25.0
1103,99800,0.0
1105,100000,-225.0
1108,100200,6.9192
1110,100400,73.0035
1112,100600,0.0
1115,100800,144.8812
1117,101000,375.2637
1120,101200,743.9012
1122,101400,96.892
1124,101600,77.7368
1126,101800,71.4933
1129,102000,-156.932
1131,102200,-179.381
1133,102400,9.328
1135,102600,-7.2228
1137,102800,0.0
1139,103000,0.0
1141,103200,0.0
1144,103400,618.6933
1146,103600,-291.7169
1148,103800,-275.0
1150,104000,-220.0
1152,104200,-160.0
1154,104400,110.4938
1156,104600,-75.0
1158,104800,418.0282
1161,105000,599.4604
1163,105200,-45.0
1165,105400,275.8241
1168,105600,120.5861
1170,105800,127.7335
1172,106000,-6.8002
1175,106200,49.2191
1177,106400,-67.8433
1179,106600,-92.3328
1181,106800,-190.0
1183,107000,-155.0
1185,107200,-138.0301
1187,107400,-202.8013
1189,107600,-216.1261
1191,107800,9.5469
1194,108000,160.2986
1197,108200,146.0282
1200,108400,573.7338
1202,108600,-53.4393
1204,108800,-240.0
1206,109000,248.077
1208,109200,-95.0
1210,109400,-14.6679
1213,109600,-164.2875
1215,109800,251.7475
1217,110000,0.0
1220,110200,42.7832
1222,110400,0.0
1224,110600,193.8537
1226,110800,795.3287
1228,111000,173.7021
1231,111200,275.0948
1234,111400,366.3157
1236,111600,-295.1547
1238,111800,128.4193
1241,112000,168.733
1244,112200,-205.9446
1246,112400,-62.4646
1249,112600,-108.7611
1251,112800,449.5313
1253,113000,0.0
1256,113200,-39.5737
1259,113400,-50.4343
1261,113600,-112.5148
1263,113800,-67.9882
1266,114000,-108.9256
1269,114200,-12.2512
1271,114400,1009.1701
1273,114600,174.4984
1276,114800,265.2339
1278,115000,-35.2847
1281,115200,144.3402
1283,115400,-52.5058
1285,115600,-81.462
1288,115800,10.7779
1290,116000,241.5901
1292,116200,-240.0
1295,116400,-261.7349
1298,116600,208.1778
1300,116800,23.072
1302,117000,63.0435
1304,117200,-168.3036
1307,117400,-32.4667
1310,117600,433.2971
1312,117800,-27.7954
1315,118000,-74.4385
1318,118200,333.3829
1320,118400,383.1684
1323,118600,67.4409
1325,118800,-195.0
1328,119000,-153.2885
1330,119200,-67.263
1333,119400,323.9429
1335,119600,0.0
1337,119800,-153.9228
1339,120000,-265.0
1342,120200,-71.1843
